500,0.0001,0.01,10000,1e+05,2058.8
600,0.0001,0.01,10000,1e+05,3557.5
700,0.0001,0.01,10000,1e+05,5649.2
800,0.0001,0.01,10000,1e+05,8432.6
900,0.0001,0.01,10000,1e+05,12007
1000,0.0001,0.01,10000,1e+05,16470
500,0.0002,0.01,10000,1e+05,2911.5
600,0.0002,0.01,10000,1e+05,5031.1
700,0.0002,0.01,10000,1e+05,7989.2
800,0.0002,0.01,10000,1e+05,11926
900,0.0002,0.01,10000,1e+05,16980
1000,0.0002,0.01,10000,1e+05,23292
500,0.0003,0.01,10000,1e+05,3565.9
600,0.0003,0.01,10000,1e+05,6161.8
700,0.0003,0.01,10000,1e+05,9784.7
800,0.0003,0.01,10000,1e+05,14606
900,0.0003,0.01,10000,1e+05,20796
1000,0.0003,0.01,10000,1e+05,28527
500,0.0004,0.01,10000,1e+05,4117.5
600,0.0004,0.01,10000,1e+05,7115
700,0.0004,0.01,10000,1e+05,11298
800,0.0004,0.01,10000,1e+05,16865
900,0.0004,0.01,10000,1e+05,24013
1000,0.0004,0.01,10000,1e+05,32940
500,0.0005,0.01,10000,1e+05,4603.5
600,0.0005,0.01,10000,1e+05,7954.9
700,0.0005,0.01,10000,1e+05,12632
800,0.0005,0.01,10000,1e+05,18856
900,0.0005,0.01,10000,1e+05,26848
1000,0.0005,0.01,10000,1e+05,36828
500,0.0006,0.01,10000,1e+05,5042.9
600,0.0006,0.01,10000,1e+05,8714.1
700,0.0006,0.01,10000,1e+05,13838
800,0.0006,0.01,10000,1e+05,20656
900,0.0006,0.01,10000,1e+05,29410
1000,0.0006,0.01,10000,1e+05,40343
500,0.0007,0.01,10000,1e+05,5446.9
600,0.0007,0.01,10000,1e+05,9412.3
700,0.0007,0.01,10000,1e+05,14946
800,0.0007,0.01,10000,1e+05,22311
900,0.0007,0.01,10000,1e+05,31767
1000,0.0007,0.01,10000,1e+05,43576
500,0.0008,0.01,10000,1e+05,5823
600,0.0008,0.01,10000,1e+05,10062
700,0.0008,0.01,10000,1e+05,15978
800,0.0008,0.01,10000,1e+05,23851
900,0.0008,0.01,10000,1e+05,33960
1000,0.0008,0.01,10000,1e+05,46584
500,0.0009,0.01,10000,1e+05,6176.3
600,0.0009,0.01,10000,1e+05,10673
700,0.0009,0.01,10000,1e+05,16948
800,0.0009,0.01,10000,1e+05,25298
900,0.0009,0.01,10000,1e+05,36020
1000,0.0009,0.01,10000,1e+05,49410
500,0.001,0.01,10000,1e+05,6510.3
600,0.001,0.01,10000,1e+05,11250
700,0.001,0.01,10000,1e+05,17864
800,0.001,0.01,10000,1e+05,26666
900,0.001,0.01,10000,1e+05,37968
1000,0.001,0.01,10000,1e+05,52083
500,0.0001,0.02,10000,1e+05,1455.8
600,0.0001,0.02,10000,1e+05,2515.5
700,0.0001,0.02,10000,1e+05,3994.6
800,0.0001,0.02,10000,1e+05,5962.8
900,0.0001,0.02,10000,1e+05,8490
1000,0.0001,0.02,10000,1e+05,11646
500,0.0002,0.02,10000,1e+05,2058.8
600,0.0002,0.02,10000,1e+05,3557.5
700,0.0002,0.02,10000,1e+05,5649.2
800,0.0002,0.02,10000,1e+05,8432.6
900,0.0002,0.02,10000,1e+05,12007
1000,0.0002,0.02,10000,1e+05,16470
500,0.0003,0.02,10000,1e+05,2521.4
600,0.0003,0.02,10000,1e+05,4357.1
